strain	bacteria	date	country	location	host	isolation_source	clade_membership	Bioproject	BioSample	Assembly	AssemblyStatus	coverage	contig_count	latitude	longitude	checkm_completeness	checkm_contamination	data_origin	sample_type	sample_type_intern
A0193.fna	Bacillus anthracis	20XX-XX-XX	USA	South Dakota	Bos sp.		A.Br.020	PRJNA27923	SAMN02470282	GCA_000181915.1	Scaffold		60	44.6471761	-100.348761	93.96	0.29	clinical	NCBI	
A0224.fna	Bacillus anthracis	20XX-XX-XX	Australia	Australia			A.Br.103	PRJNA514245	SAMN04283836	GCA_029700385.1	Contig	390	59	-25.16	133.46	99.43	3.16	unknown	NCBI	
A0241.fna	Bacillus anthracis	20XX-XX-XX	Turkey	Turkey	Capra aegagrus hircus		A.Br.008_(TEA)	PRJNA514245	SAMN04283863	GCA_029700745.1	Contig	180	57	38.57	35.14	99.43	0.86	clinical	NCBI	
A0245.fna	Bacillus anthracis	20XX-XX-XX	Turkey	Turkey	Bos taurus		A.Br.008_(TEA)	PRJNA514245	SAMN04283865	GCA_029700365.1	Contig	380	57	38.57	35.14	99.43	0.86	clinical	NCBI	
A0248.fna	Bacillus anthracis	20XX-XX-XX					A.Br.001	PRJNA33543	SAMN02603932	GCA_000022865.1	Complete		3			99.43	0.29	unknown	NCBI	
A0252.fna	Bacillus anthracis	20XX-XX-XX	Zimbabwe	Zimbabwe			A.Br.102	PRJNA514245	SAMN04283840	GCA_029700345.1	Contig	102	61	-19	29.9	99.43	3.16	unknown	NCBI	
A0264.fna	Bacillus anthracis	1984-XX-XX	Turkey	Turkey	Homo sapiens		A.Br.165	PRJNA514245	SAMN03569271	GCA_029702405.1	Contig	184	53	38.57	35.14	99.43	0.86	clinical	NCBI	
A0293.fna	Bacillus anthracis	20XX-XX-XX	Italy	Italy	Ovis aries		A.Br.128	PRJNA514245	SAMN04283866	GCA_029700685.1	Contig	109	85	41.52	12.34	99.43	0.86	clinical	NCBI	
A0303.fna	Bacillus anthracis	20XX-XX-XX	Canada	Canada	Bos taurus		A.Br.009_018_(WNA)	PRJNA514245	SAMN04283883	GCA_029699545.1	Contig	72	62	56.7	-106.2	99.43	0.86	clinical	NCBI	
A0362.fna	Bacillus anthracis	20XX-XX-XX	Norway	Norway	Bos taurus		A.Br.110	PRJNA514245	SAMN04283849	GCA_029699525.1	Contig	63	66	60.28	8.28	99.43	0.86	clinical	NCBI	
A0363.fna	Bacillus anthracis	20XX-XX-XX	Norway	Norway	Bos taurus		A.Br.059	PRJNA514245	SAMN04283810	GCA_029700325.1	Contig	100	65	60.28	8.28	99.43	1.44	clinical	NCBI	
A0380.fna	Bacillus anthracis	20XX-XX-XX	Ireland	Ireland		Wool	A.Br.052	PRJNA514245	SAMN04283808	GCA_029700305.1	Contig	33	98	53.24	-8.14	99.43	0.86	clinical	NCBI	
A0386.fna	Bacillus anthracis	20XX-XX-XX	United Kingdom	Scotland	Homo sapiens		A.Br.015	PRJNA514245	SAMN04283835	GCA_029700285.1	Contig	93	59	56.29	-4.12	99.43	4.09	clinical	NCBI	
A0401.fna	Bacillus anthracis	20XX-XX-XX	France	France	Bos taurus		A.Br.UA2_(L6)	PRJNA514245	SAMN04283868	GCA_029699485.1	Contig	61	61	46.13	2.12	99.43	0.86	clinical	NCBI	
A0404.fna	Bacillus anthracis	20XX-XX-XX	India	India	Homo sapiens		A.Br.097	PRJNA514245	SAMN04283834	GCA_029700265.1	Contig	334	53	20.35	78.57	99.43	3.16	clinical	NCBI	
A0417.fna	Bacillus anthracis	20XX-XX-XX	Hungary	Hungary			A.Br.124	PRJNA514245	SAMN04283862	GCA_029699505.1	Contig	84	57	47.9	19.3	99.43	0.29	unknown	NCBI	
A0442.fna	Bacillus anthracis	20XX-XX-XX	South Africa	Kruger National Park	Ammelaphus imberbis		B.Br.001	PRJNA27915	SAMN02470279	GCA_000181935.1	Scaffold		46	-23.9316231	31.5048950217197	96.14	0.26	clinical	NCBI	
A0455.fna	Bacillus anthracis	20XX-XX-XX	Mozambique	Mozambique	Bos taurus		A.Br.102	PRJNA514245	SAMN04283841	GCA_029700245.1	Contig	129	62	-18.39	35.31	99.43	4.09	clinical	NCBI	
A0464.fna	Bacillus anthracis	20XX-XX-XX	Indonesia	Indonesia	Bos taurus		A.Br.049	PRJNA514245	SAMN04283806	GCA_029700185.1	Contig	352	63	-0.47	113.55	99.43	3.16	clinical	NCBI	
A0465.fna	Bacillus anthracis	20XX-XX-XX					B.Br.007_(FrenchB)	PRJNA27919	SAMN02470255	GCA_000181995.1	Scaffold		57			97.75	0	unknown	NCBI	
A0478.fna	Bacillus anthracis	20XX-XX-XX	Spain	Spain		Minerals	A.Br.060	PRJNA514245	SAMN04283811	GCA_029700205.1	Contig	173	62	40.27	-3.44	99.43	1.44	environment	NCBI	
A0485.fna	Bacillus anthracis	20XX-XX-XX	Russia	Russia			A.Br.119	PRJNA514245	SAMN04283856	GCA_029700165.1	Contig	86	58	61.31	105.19	99.43	0.86	unknown	NCBI	
A0488.fna	Bacillus anthracis	20XX-XX-XX					A.Br.060	PRJNA27913	SAMN02470254	GCA_000181835.1	Scaffold		63			94.52	0	unknown	NCBI	
A0530.fna	Bacillus anthracis	20XX-XX-XX	Botswana	Botswana	Loxodonta		A.Br.041/042	PRJNA514245	SAMN04283802	GCA_029700125.1	Contig	42	66	-22.19	24.41	99.43	0.86	clinical	NCBI	
A0533.fna	Bacillus anthracis	20XX-XX-XX	South Africa	South Africa	Capra aegagrus hircus		A.Br.040	PRJNA514245	SAMN04283801	GCA_029700145.1	Contig	141	63	-30.33	22.56	99.43	0.86	clinical	NCBI	
A0604.fna	Bacillus anthracis	1981-XX-XX	China	China		Soil	A.Br.124	PRJNA514245	SAMN04283861	GCA_029700085.1	Contig	84	58	35.51	104.11	99.43	0.86	environment	NCBI	
A0615.fna	Bacillus anthracis	1981-XX-XX	China	China		Soil	A.Br.050	PRJNA514245	SAMN04283807	GCA_029700105.1	Contig	77	70	35.51	104.11	99.43	0.86	environment	NCBI	
A0628.fna	Bacillus anthracis	1981-XX-XX	China	China		Soil	A.Br.113	PRJNA514245	SAMN04283850	GCA_029699445.1	Contig	67	65	35.51	104.11	99.43	0.29	environment	NCBI	
A0656.fna	Bacillus anthracis	1982-XX-XX	China	China		Soil	A.Br.104	PRJNA514245	SAMN04283837	GCA_029700625.1	Contig	69	64	35.51	104.11	99.43	6.61	environment	NCBI	
A0659.fna	Bacillus anthracis	1982-XX-XX	China	China		Soil	A.Br.104	PRJNA514245	SAMN04283838	GCA_029700585.1	Contig	63	60	35.51	104.11	99.43	3.16	environment	NCBI	
A0684.fna	Bacillus anthracis	1982-XX-XX	China	China		Soil	A.Br.161_(Heroin)	PRJNA514245	SAMN04283885	GCA_029700665.1	Contig	161	68	35.51	104.11	99.43	0.86	environment	NCBI	
A0777.fna	Bacillus anthracis	20XX-XX-XX	Canada	Canada			A.Br.009_018_(WNA)	PRJNA695105	SAMN18241465	GCA_022221265.1	Complete	136	3	61.0666922	-107.991707	99.43	0.29	unknown	NCBI	
A0843.fna	Bacillus anthracis	1993-XX-XX	Italy	Italy	Ovis aries		A.Br.143	PRJNA514245	SAMN04283879	GCA_029700045.1	Contig	30	105	41.52	12.34	99.43	0.86	clinical	NCBI	
A0847.fna	Bacillus anthracis	1997-XX-XX	Italy	Italy	Ovis aries		A.Br.128	PRJNA514245	SAMN04283867	GCA_029700065.1	Contig	130	73	41.52	12.34	99.43	0.86	clinical	NCBI	
A0853.fna	Bacillus anthracis	1999-XX-XX	Italy	Italy	Bos taurus		A.Br.143	PRJNA514245	SAMN04283880	GCA_029700025.1	Contig	72	66	41.52	12.34	99.43	0.86	clinical	NCBI	
A0854.fna	Bacillus anthracis	1999-XX-XX	Italy	Italy	Bos taurus		A.Br.145	PRJNA514245	SAMN04283881	GCA_029700005.1	Contig	40	100	41.52	12.34	99.43	2.24	clinical	NCBI	
A0860.fna	Bacillus anthracis	1984-XX-XX	Italy	Italy	Ovis aries		A.Br.146	PRJNA514245	SAMN04283882	GCA_029699985.1	Contig	61	60	41.52	12.34	99.43	3.16	clinical	NCBI	
A0862a.fna	Bacillus anthracis	1984-XX-XX	Italy	Italy	Ovis aries		A.Br.138	PRJNA514245	SAMN04283870	GCA_029699965.1	Contig	76	60	41.52	12.34	99.43	0.86	clinical	NCBI	
A0873.fna	Bacillus anthracis	1972-XX-XX	Italy	Italy	Bos taurus		A.Br.142	PRJNA514245	SAMN04283878	GCA_029699945.1	Contig	197	69	41.52	12.34	99.43	0.86	clinical	NCBI	
A0878.fna	Bacillus anthracis	20XX-XX-XX	Italy	Italy			A.Br.135	PRJNA514245	SAMN04283869	GCA_029699925.1	Contig	154	65	41.52	12.34	99.43	0.86	unknown	NCBI	
A0881.fna	Bacillus anthracis	20XX-XX-XX	Italy	Italy	Homo sapiens		A.Br.141	PRJNA514245	SAMN04283875	GCA_029699905.1	Contig	86	71	41.52	12.34	99.43	0.86	clinical	NCBI	
A0893.fna	Bacillus anthracis	1996-XX-XX	Italy	Italy	Capra aegagrus hircus		A.Br.139	PRJNA514245	SAMN04283874	GCA_029699465.1	Contig	58	61	41.52	12.34	99.43	0.86	clinical	NCBI	
A0894.fna	Bacillus anthracis	1997-XX-XX	Italy	Italy	Capra aegagrus hircus		A.Br.139	PRJNA514245	SAMN04283872	GCA_029699425.1	Contig	140	60	41.52	12.34	99.43	0.86	clinical	NCBI	
A1032.fna	Bacillus anthracis	20XX-XX-XX	Albania	Albania	Capra aegagrus hircus		A.Br.107	PRJNA514245	SAMN04283844	GCA_029700645.1	Contig	104	79	41.9	20.1	99.43	0.86	clinical	NCBI	
A1033.fna	Bacillus anthracis	20XX-XX-XX	Albania	Albania	Bos taurus		A.Br.107	PRJNA514245	SAMN04283845	GCA_029699385.1	Contig	135	64	41.9	20.1	99.43	0.86	clinical	NCBI	
A1035.fna	Bacillus anthracis	20XX-XX-XX	Albania	Albania	Ovis aries		A.Br.106	PRJNA514245	SAMN04283843	GCA_029700605.1	Contig	156	57	41.9	20.1	99.43	0.86	clinical	NCBI	
A1039.fna	Bacillus anthracis	1999-XX-XX	Bolivia	Santa Cruz	Bos taurus		A.Br.070	PRJNA257008	SAMN02999502	GCA_000986915.1	Contig	605294	32	28.467178	-16.2507843	99.43	0.29	clinical	NCBI	
A1050.fna	Bacillus anthracis	20XX-XX-XX	Italy	Italy	Bos taurus		A.Br.140_(L1)	PRJNA514245	SAMN04283877	GCA_029699405.1	Contig	120	62	41.52	12.34	99.43	0.86	clinical	NCBI	
A1055.fna	Bacillus anthracis	20XX-XX-XX					C.Br.002	PRJNA10795	SAMN02435882	GCA_000167255.1	Scaffold		42			98.64	1.01	unknown	NCBI	
A1058.fna	Bacillus anthracis	1957-XX-XX	USA	USA	Bos taurus		A.Br.058	PRJNA514245	SAMN04283809	GCA_029699885.1	Contig	324	67	37.5	-95.42	99.43	0.86	clinical	NCBI	
A1063.fna	Bacillus anthracis	1960-XX-XX	USA	USA			A.Br.060	PRJNA514245	SAMN04283812	GCA_029699865.1	Contig	82	50	37.5	-95.42	99.43	0.86	unknown	NCBI	
A1074.fna	Bacillus anthracis	20XX-XX-XX	Chile	Chile			A.Br.073	PRJNA695105	SAMN18241466	GCA_022221245.1	Complete	56	3	-31.7613365	-71.3187697	99.43	0.29	unknown	NCBI	
A1075.fna	Bacillus anthracis	20XX-XX-XX	Chile	Lago Ranco	Bos taurus		A.Br.073	PRJNA257008	SAMN02999503	GCA_000986935.1	Contig	710251	26	-40.22874615	-72.478581219049	99.43	0.29	clinical	NCBI	
A1082.fna	Bacillus anthracis	20XX-XX-XX	Italy	Italy	Bos taurus		A.Br.141	PRJNA514245	SAMN04283876	GCA_029699845.1	Contig	67	73	41.52	12.34	99.43	0.86	clinical	NCBI	
A1096.fna	Bacillus anthracis	20XX-XX-XX	Argentina	Argentina	Bos taurus		A.Br.072	PRJNA514245	SAMN04283817	GCA_029700545.1	Contig	72	57	-38.24	-63.37	99.43	0.86	clinical	NCBI	
A11.fna	Bacillus anthracis	1975-XX-XX	South Africa	Kruger National Park		Soil	B.Br.001	PRJNA514245	SAMN15402704	GCA_029695045.1	Contig	217	77	-23.9316231	31.5048950217197	99.43	0.95	environment	NCBI	
A1101.fna	Bacillus anthracis	20XX-XX-XX	Argentina	Argentina	Bos taurus		A.Br.074	PRJNA514245	SAMN04283818	GCA_029699645.1	Contig	69	44	-38.24	-63.37	99.43	0.48	clinical	NCBI	
A1102.fna	Bacillus anthracis	20XX-XX-XX	Argentina	Argentina	Sus scrofa domesticus		A.Br.074	PRJNA514245	SAMN04283819	GCA_029699605.1	Contig	71	46	-38.24	-63.37	99.43	0.29	clinical	NCBI	
A11193.fna	Bacillus anthracis	20XX-XX-XX	Bulgaria	Bulgaria	Bos taurus		A.Br.109	PRJNA514245	SAMN04283846	GCA_029699575.1	Contig	97	46	42.44	25.29	99.43	0.86	clinical	NCBI	
A11194.fna	Bacillus anthracis	20XX-XX-XX	Bulgaria	Bulgaria	Bos taurus		A.Br.109	PRJNA514245	SAMN04283847	GCA_029699805.1	Contig	98	59	42.44	25.29	99.43	0.86	clinical	NCBI	
A1144.fna	Bacillus anthracis	1992-04-20	Argentina	Buenos Aires	Bos taurus		A.Br.136	PRJNA257008	SAMN02999504	GCA_000875715.1	Complete	250	3	-34.6075682	-58.4370894	99.43	0.29	clinical	NCBI	
A133.fna	Bacillus anthracis	20XX-XX-XX	Austria	Tyrol	Bos taurus		B.Br.004_(FrenchB)	PRJNA514245	SAMN18366126	GCA_029695305.1	Contig	724	53	47.223193	11.5261028	99.43	0.86	clinical	NCBI	
A142.fna	Bacillus anthracis	2007-XX-XX	Germany	Neumuenster		Soil	A.Br.064_(V770)	PRJNA309927	SAMN08812795	GCA_003063965.1	Scaffold	65	24	54.0757442	9.9815377	99.43	0.29	environment	NCBI	
A155.fna	Bacillus anthracis	2007-XX-XX	Germany	Neumuenster		Soil	A.Br.073	PRJNA309927	SAMN08812796	GCA_003063985.1	Contig	85	239	54.0757442	9.9815377	99.43	2.67	environment	NCBI	
A159.fna	Bacillus anthracis	2008-XX-XX	Germany	Germany			A.Br.034_(AncientA)	PRJNA695105	SAMN18241462	GCA_022221325.1	Complete	136	3	51.1638175	10.4478313	99.43	0.29	unknown	NCBI	
A16_1975.fna	Bacillus anthracis	1975-XX-XX	South Africa	Kruger National Park		Soil	B.Br.001	PRJNA514245	SAMN15402705	GCA_029695445.1	Contig	211	59	-23.9316231	31.5048950217197	99.43	4.17	environment	NCBI	
A16-LA896.fna	Bacillus anthracis	1970-XX-XX	Switzerland	Switzerland	Bos taurus		B.Br.004_(FrenchB)	PRJNA309927	SAMN08812799	GCA_003064015.1	Contig	67	27	46.7985624	8.2319736	99.43	0.29	clinical	NCBI	
A16.fna	Bacillus anthracis	20XX-XX-XX					A.Br.089	PRJNA40303	SAMN02641483	GCA_000512835.2	Complete	56	3			99.43	0.29	unknown	NCBI	
A166.fna	Bacillus anthracis	1984-XX-XX	France	Borges	Bos taurus		A.Br.140_(L1)	PRJNA695105	SAMN13164734	GCA_022220945.1	Complete	68	3	47.0811658	2.399125	99.43	0.29	clinical	NCBI	
A167.fna	Bacillus anthracis	1997-XX-XX	France	Savoie	Bos taurus		B.Br.005	PRJNA514245	SAMN18366127	GCA_029694875.1	Contig	830	49	45.49489515	6.38466038137565	99.43	0.86	clinical	NCBI	
A168.fna	Bacillus anthracis	1998-XX-XX	France	Haute-Marne	Bos taurus		A.Br.UA2_(L6)	PRJNA695105	SAMN13164740	GCA_022220965.1	Complete	63	3	48.1329414	5.25291078975193	99.43	0.29	clinical	NCBI	
A16R.fna	Bacillus anthracis	20XX-XX-XX					A.Br.086	PRJNA40353	SAMN02641484	GCA_000512775.2	Complete	50	2			99.43	0.29	unknown	NCBI	
A170.fna	Bacillus anthracis	1997-XX-XX	France	Pyrenees	Canis lupus familiaris		B.Br.007_(FrenchB)	PRJNA514245	SAMN18366128	GCA_029695185.1	Contig	785	62	42.5824012	0.538827167130727	99.43	0.86	clinical	NCBI	
A173.fna	Bacillus anthracis	2005-XX-XX	France	Saone et Loire	Bos taurus		B.Br.006	PRJNA514245	SAMN18366129	GCA_029694725.1	Contig	570	66	46.6557086	4.55855481835173	99.43	0.86	clinical	NCBI	
A174.fna	Bacillus anthracis	2000-XX-XX	France	Nievre	Bos taurus		B.Br.005	PRJNA514245	SAMN18366130	GCA_029695205.1	Contig	362	42	47.11969705	3.54488979472272	99.43	3.16	clinical	NCBI	
A175a.fna	Bacillus anthracis	1997-XX-XX	France	Pyrenees	Bos taurus		B.Br.007_(FrenchB)	PRJNA514245	SAMN18366131	GCA_029694905.1	Contig	775	57	42.5824012	0.538827167130727	99.43	0.86	clinical	NCBI	
A178.fna	Bacillus anthracis	2008-XX-XX	France	Moselle	Homo sapiens		A.Br.UA4	PRJNA695105	SAMN13164747	GCA_022220985.1	Complete	62	3	49.0207259	6.53803517035795	99.43	0.29	clinical	NCBI	
A180.fna	Bacillus anthracis	2006-XX-XX	France	Savoie	Bos taurus		B.Br.005	PRJNA514245	SAMN18366132	GCA_029695225.1	Contig	940	54	45.49489515	6.38466038137565	99.43	2.01	clinical	NCBI	
A181.fna	Bacillus anthracis	2007-XX-XX	France	Aveyron	Bos taurus		B.Br.006	PRJNA514245	SAMN18366133	GCA_029695245.1	Contig	897	54	44.31585745	2.50656973024198	99.43	2.59	clinical	NCBI	
A182.fna	Bacillus anthracis	2008-XX-XX	France	Meurthe-et-Moselle	Bos taurus		A.Br.UA4	PRJNA695105	SAMN13164746	GCA_022220505.1	Complete	76	3	48.95596825	5.98703829975656	99.43	0.29	clinical	NCBI	
A183.fna	Bacillus anthracis	2008-XX-XX	France	Cantal	Bos taurus		B.Br.006	PRJNA514245	SAMN18366134	GCA_029695265.1	Contig	1072	56	45.0497701	2.69971756773736	99.43	2.01	clinical	NCBI	
A185.fna	Bacillus anthracis	2006-XX-XX	France	Saone et Loire	Bos taurus		B.Br.006	PRJNA514245	SAMN18366135	GCA_029695285.1	Contig	829	52	46.6557086	4.55855481835173	99.43	0.86	clinical	NCBI	
A188.fna	Bacillus anthracis	2009-XX-XX	Germany	Bavaria		Environment	B.Br.004_(FrenchB)	PRJNA514245	SAMN18366136	GCA_029694745.1	Contig	362	40	48.9467562	11.4038717	99.43	0.86	environment	NCBI	
A189.fna	Bacillus anthracis	2009-XX-XX	Germany	Bavaria		Environment	B.Br.004_(FrenchB)	PRJNA514245	SAMN18366137	GCA_029695325.1	Contig	929	54	48.9467562	11.4038717	99.43	2.01	environment	NCBI	
A191.fna	Bacillus anthracis	20XX-XX-XX			Bos taurus		B.Br.007_(FrenchB)	PRJNA514245	SAMN18366138	GCA_029694795.1	Contig	1168	51			99.43	0.86	clinical	NCBI	
A192a.fna	Bacillus anthracis	1997-XX-XX	France	Pyrenees	Bos taurus		B.Br.007_(FrenchB)	PRJNA514245	SAMN18366139	GCA_029695105.1	Contig	712	53	42.5824012	0.538827167130727	99.43	3.16	clinical	NCBI	
A193a.fna	Bacillus anthracis	1997-XX-XX	France	France	Bos taurus		A.Br.UA2_(L6)	PRJNA695105	SAMN13164741	GCA_022220925.1	Complete	62	3	46.603354	1.8883335	99.43	0.29	clinical	NCBI	
A193b.fna	Bacillus anthracis	1997-XX-XX	France	Pyrenees	Bos taurus		B.Br.007_(FrenchB)	PRJNA514245	SAMN18366140	GCA_029694665.1	Contig	1059	52	42.5824012	0.538827167130727	99.43	0.86	clinical	NCBI	
A194.fna	Bacillus anthracis	1997-XX-XX	France	Savoie	Bos taurus		B.Br.005	PRJNA514245	SAMN18366141	GCA_029695125.1	Contig	1385	55	45.49489515	6.38466038137565	99.43	0.86	clinical	NCBI	
A195.fna	Bacillus anthracis	2009-XX-XX	France	Savoie	Bos taurus		B.Br.005	PRJNA514245	SAMN18366142	GCA_029694705.1	Contig	848	55	45.49489515	6.38466038137565	99.43	0.86	clinical	NCBI	
A196.fna	Bacillus anthracis	2009-XX-XX	France	Isere	Bos taurus		B.Br.005	PRJNA514245	SAMN18366143	GCA_029695145.1	Contig	677	57	45.28979315	5.63438247738623	99.43	0.86	clinical	NCBI	
A197.fna	Bacillus anthracis	2009-XX-XX	France	Savoie	Bos taurus		B.Br.005	PRJNA514245	SAMN18366144	GCA_029695165.1	Contig	826	59	45.49489515	6.38466038137565	99.43	2.01	clinical	NCBI	
A2012.fna	Bacillus anthracis	20XX-XX-XX					A.Br.001	PRJNA299	SAMN02435829	GCA_000006155.2	Chromosome		426			94.52	0	unknown	NCBI	
A2075.fna	Bacillus anthracis	1999-XX-XX	Tanzania	Tanzania	Papio		A.Br.038	PRJNA514245	SAMN04283799	GCA_029699825.1	Contig	120	61	-6.22	34.53	99.43	0.86	clinical	NCBI	
A2079.fna	Bacillus anthracis	1999-XX-XX	Tanzania	Tanzania	Aepyceros melampus		A.Br.035_036	PRJNA514245	SAMN04283798	GCA_029699785.1	Contig	44	68	-6.22	34.53	99.43	0.29	clinical	NCBI	
A24-TN_Bovine_Sokol.fna	Bacillus anthracis	1972-XX-XX	Slovakia	Slovakia	Bos primigenius taurus		B.Br.004_(FrenchB)	PRJNA309927	SAMN08812798	GCA_003064045.1	Scaffold	88	30	48.7411522	19.4528646	99.43	0.29	clinical	NCBI	
A27.fna	Bacillus anthracis	20XX-XX-XX	Germany	Giessen	Homo sapiens		A.Br.127_(Pasteur)	PRJNA695105	SAMN13164726	GCA_022221045.1	Complete	80	3	50.5862066	8.6742306	99.43	0.29	clinical	NCBI	
A29.fna	Bacillus anthracis	1954-XX-XX	Germany	Giessen			A.Br.127_(Pasteur)	PRJNA695105	SAMN13164728	GCA_022220525.1	Complete	71	3	50.5862066	8.6742306	99.43	0.29	unknown	NCBI	
A3.fna	Bacillus anthracis	1975-XX-XX	South Africa	Kruger National Park		Soil	B.Br.001	PRJNA514245	SAMN15402701	GCA_029694965.1	Contig	289	60	-23.9316231	31.5048950217197	99.43	6.47	environment	NCBI	
A3716.fna	Bacillus anthracis	2006-XX-XX	Namibia	Namibia	Equus zebra		A.Br.100	PRJNA514245	SAMN04283842	GCA_029700525.1	Contig	247	57	-22.57	18.29	99.43	4.09	clinical	NCBI	
A3783.fna	Bacillus anthracis	20XX-XX-XX	USA	USA			C.Br.002	PRJNA695105	SAMN18241469	GCA_022221185.1	Complete	68	3	39.7837304	-100.445882	99.43	0.29	unknown	NCBI	
A3802.fna	Bacillus anthracis	2006-XX-XX	Cote_d_Ivoire	Cote_d_Ivoire	Capra sp.	Hide	A.Br.157	PRJNA514245	SAMN04283884	GCA_029699365.1	Contig	238	56	7.32	-5.32	99.43	4.09	clinical	NCBI	
A4564.fna	Bacillus anthracis	2009-XX-XX	Germany	Aachen	Homo sapiens		A.Br.169	PRJNA514245	SAMN03566004	GCA_029701425.1	Contig	75	49	50.46	6.5	99.43	0.86	clinical	NCBI	
A4565.fna	Bacillus anthracis	2010-XX-XX	Germany	Aachen	Homo sapiens	Blood	A.Br.169	PRJNA514245	SAMN03566005	GCA_029701465.1	Contig	61	47	50.46	6.5	99.43	0.86	clinical	NCBI	
A4566.fna	Bacillus anthracis	2012-XX-XX	Denmark	Copenhagen	Homo sapiens	Blood	A.Br.171	PRJNA514245	SAMN03566006	GCA_029701405.1	Contig	49	49	55.4	12.34	99.43	0.29	clinical	NCBI	
A4568.fna	Bacillus anthracis	2000-XX-XX	Norway	Oslo	Homo sapiens	Skin	A.Br.171	PRJNA514245	SAMN03566008	GCA_029701365.1	Contig	55	47	59.54	10.45	99.43	0.29	clinical	NCBI	
A4571.fna	Bacillus anthracis	2012-XX-XX	Germany	Regensburg	Homo sapiens	Skin	A.Br.171	PRJNA514245	SAMN03566009	GCA_029701345.1	Contig	93	43	49	12.6	99.43	0.48	clinical	NCBI	
A4572.fna	Bacillus anthracis	2009-XX-XX	United Kingdom	Glasgow	Homo sapiens	Blood	A.Br.169	PRJNA514245	SAMN03565959	GCA_029702425.1	Contig	60	45	55.51	-4.15	99.43	0.29	clinical	NCBI	
A4573.fna	Bacillus anthracis	2009-XX-XX	United Kingdom	Glasgow	Homo sapiens	Blood	A.Br.169	PRJNA514245	SAMN03565982	GCA_029701925.1	Contig	59	53	55.51	-4.15	99.43	0.86	clinical	NCBI	
A4574.fna	Bacillus anthracis	2009-XX-XX	United Kingdom	Glasgow	Homo sapiens	Blood	A.Br.169	PRJNA514245	SAMN03566003	GCA_029701445.1	Contig	114	40	55.51	-4.15	99.43	0.86	clinical	NCBI	
A4576.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Dundee	Homo sapiens		A.Br.169	PRJNA514245	SAMN03566011	GCA_029701325.1	Contig	84	41	56.27	-2.58	99.43	0.29	clinical	NCBI	
A4577.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Glasgow	Homo sapiens		A.Br.169	PRJNA514245	SAMN03566012	GCA_029701265.1	Contig	69	46	55.51	-4.15	99.43	0.67	clinical	NCBI	
A4578.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Glasgow	Homo sapiens		A.Br.169	PRJNA514245	SAMN03566013	GCA_029701165.1	Contig	70	49	55.51	-4.15	99.43	0.29	clinical	NCBI	
A4579.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Kirkcaldy	Homo sapiens		A.Br.169	PRJNA514245	SAMN03566014	GCA_029701305.1	Contig	87	42	56.7	-3.9	99.43	0.86	clinical	NCBI	
A4580.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Kirkcaldy	Homo sapiens		A.Br.169	PRJNA514245	SAMN03566015	GCA_029701245.1	Contig	70	47	56.7	-3.9	99.43	0.29	clinical	NCBI	
A4581.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Dundee	Homo sapiens		A.Br.169	PRJNA514245	SAMN03566016	GCA_029701225.1	Contig	66	46	56.27	-2.58	99.43	0.86	clinical	NCBI	
A4582.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Glasgow	Homo sapiens		A.Br.169	PRJNA514245	SAMN03566017	GCA_029701145.1	Contig	64	46	55.51	-4.15	99.43	0.29	clinical	NCBI	
A4583.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Kilmarnock	Homo sapiens	Groin Sinus	A.Br.169	PRJNA514245	SAMN03565960	GCA_029702345.1	Contig	86	43	55.36	-4.29	99.43	0.86	clinical	NCBI	
A4584.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Kilmarnock	Homo sapiens	Blood	A.Br.169	PRJNA514245	SAMN03565961	GCA_029702485.1	Contig	90	44	55.36	-4.29	99.43	0.86	clinical	NCBI	
A4585.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Kilmarnock	Homo sapiens	Blood	A.Br.169	PRJNA514245	SAMN03565962	GCA_029702365.1	Contig	79	42	55.36	-4.29	99.43	0.86	clinical	NCBI	
A4586.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Kilmarnock	Homo sapiens	Blood	A.Br.169	PRJNA514245	SAMN03565963	GCA_029702305.1	Contig	79	44	55.36	-4.29	99.43	0.29	clinical	NCBI	
A4587.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Glasgow	Homo sapiens	Blood	A.Br.169	PRJNA514245	SAMN03565964	GCA_029702325.1	Contig	128	43	55.51	-4.15	99.43	0.86	clinical	NCBI	
A4588.fna	Bacillus anthracis	2010-XX-XX	United Kingdom	Glasgow	Homo sapiens	Blood	A.Br.169	PRJNA514245	SAMN03565965	GCA_029702265.1	Contig	73	45	55.51	-4.15	99.43	0.29	clinical	NCBI	
